Category: All categories

Week,animal crossing: (United States)
2015-03-01,24
2015-03-08,21
2015-03-15,22
2015-03-22,22
2015-03-29,32
2015-04-05,32
2015-04-12,24
2015-04-19,24
2015-04-26,23
2015-05-03,23
2015-05-10,23
2015-05-17,24
2015-05-24,26
2015-05-31,27
2015-06-07,27
2015-06-14,34
2015-06-21,35
2015-06-28,34
2015-07-05,34
2015-07-12,29
2015-07-19,29
2015-07-26,30
2015-08-02,29
2015-08-09,27
2015-08-16,24
2015-08-23,21
2015-08-30,22
2015-09-06,23
2015-09-13,21
2015-09-20,30
2015-09-27,33
2015-10-04,27
2015-10-11,24
2015-10-18,21
2015-10-25,19
2015-11-01,21
2015-11-08,22
2015-11-15,21
2015-11-22,31
2015-11-29,21
2015-12-06,21
2015-12-13,22
2015-12-20,34
2015-12-27,36
2016-01-03,26
2016-01-10,22
2016-01-17,23
2016-01-24,22
2016-01-31,21
2016-02-07,20
2016-02-14,20
2016-02-21,18
2016-02-28,19
2016-03-06,19
2016-03-13,19
2016-03-20,20
2016-03-27,23
2016-04-03,18
2016-04-10,16
2016-04-17,15
2016-04-24,16
2016-05-01,15
2016-05-08,15
2016-05-15,16
2016-05-22,19
2016-05-29,23
2016-06-05,21
2016-06-12,22
2016-06-19,23
2016-06-26,23
2016-07-03,24
2016-07-10,20
2016-07-17,24
2016-07-24,21
2016-07-31,19
2016-08-07,19
2016-08-14,17
2016-08-21,15
2016-08-28,17
2016-09-04,17
2016-09-11,14
2016-09-18,15
2016-09-25,14
2016-10-02,13
2016-10-09,14
2016-10-16,13
2016-10-23,13
2016-10-30,32
2016-11-06,32
2016-11-13,25
2016-11-20,26
2016-11-27,19
2016-12-04,18
2016-12-11,20
2016-12-18,23
2016-12-25,31
2017-01-01,24
2017-01-08,20
2017-01-15,18
2017-01-22,16
2017-01-29,16
2017-02-05,15
2017-02-12,15
2017-02-19,17
2017-02-26,16
2017-03-05,16
2017-03-12,17
2017-03-19,15
2017-03-26,17
2017-04-02,15
2017-04-09,16
2017-04-16,15
2017-04-23,15
2017-04-30,16
2017-05-07,16
2017-05-14,16
2017-05-21,16
2017-05-28,18
2017-06-04,19
2017-06-11,23
2017-06-18,21
2017-06-25,21
2017-07-02,23
2017-07-09,21
2017-07-16,21
2017-07-23,20
2017-07-30,18
2017-08-06,19
2017-08-13,17
2017-08-20,14
2017-08-27,13
2017-09-03,13
2017-09-10,14
2017-09-17,12
2017-09-24,11
2017-10-01,11
2017-10-08,14
2017-10-15,15
2017-10-22,49
2017-10-29,29
2017-11-05,25
2017-11-12,26
2017-11-19,100
2017-11-26,79
2017-12-03,45
2017-12-10,30
2017-12-17,33
2017-12-24,33
2017-12-31,25
2018-01-07,18
2018-01-14,17
2018-01-21,14
2018-01-28,14
2018-02-04,13
2018-02-11,14
2018-02-18,13
2018-02-25,12
2018-03-04,14
2018-03-11,13
2018-03-18,12
2018-03-25,13
2018-04-01,14
2018-04-08,13
2018-04-15,15
2018-04-22,14
2018-04-29,12
2018-05-06,13
2018-05-13,12
2018-05-20,14
2018-05-27,15
2018-06-03,14
2018-06-10,22
2018-06-17,16
2018-06-24,15
2018-07-01,17
2018-07-08,17
2018-07-15,16
2018-07-22,16
2018-07-29,16
2018-08-05,16
2018-08-12,15
2018-08-19,14
2018-08-26,12
2018-09-02,13
2018-09-09,30
2018-09-16,24
2018-09-23,19
2018-09-30,15
2018-10-07,15
2018-10-14,14
2018-10-21,13
2018-10-28,13
2018-11-04,14
2018-11-11,13
2018-11-18,18
2018-11-25,14
2018-12-02,15
2018-12-09,17
2018-12-16,17
2018-12-23,25
2018-12-30,26
2019-01-06,21
2019-01-13,21
2019-01-20,21
2019-01-27,20
2019-02-03,19
2019-02-10,22
2019-02-17,19
2019-02-24,18
2019-03-03,20
2019-03-10,21
2019-03-17,20
2019-03-24,20
2019-03-31,18
2019-04-07,19
2019-04-14,19
2019-04-21,19
2019-04-28,16
2019-05-05,17
2019-05-12,17
2019-05-19,17
2019-05-26,19
2019-06-02,20
2019-06-09,48
2019-06-16,29
2019-06-23,23
2019-06-30,22
2019-07-07,21
2019-07-14,20
2019-07-21,19
2019-07-28,18
2019-08-04,19
2019-08-11,18
2019-08-18,17
2019-08-25,15
2019-09-01,18
2019-09-08,16
2019-09-15,16
2019-09-22,15
2019-09-29,14
2019-10-06,14
2019-10-13,14
2019-10-20,15
2019-10-27,15
2019-11-03,15
2019-11-10,16
2019-11-17,17
2019-11-24,21
2019-12-01,17
2019-12-08,17
2019-12-15,18
2019-12-22,26
2019-12-29,26
2020-01-05,26
2020-01-12,28
2020-01-19,30
2020-01-26,59
2020-02-02,69
2020-02-09,54
2020-02-16,94
