Category: All categories

Week,castlevania: (United States)
2015-03-01,7
2015-03-08,7
2015-03-15,6
2015-03-22,7
2015-03-29,8
2015-04-05,7
2015-04-12,7
2015-04-19,7
2015-04-26,7
2015-05-03,7
2015-05-10,13
2015-05-17,13
2015-05-24,11
2015-05-31,10
2015-06-07,9
2015-06-14,8
2015-06-21,7
2015-06-28,7
2015-07-05,7
2015-07-12,7
2015-07-19,7
2015-07-26,9
2015-08-02,8
2015-08-09,9
2015-08-16,9
2015-08-23,7
2015-08-30,7
2015-09-06,7
2015-09-13,7
2015-09-20,6
2015-09-27,7
2015-10-04,6
2015-10-11,7
2015-10-18,8
2015-10-25,9
2015-11-01,6
2015-11-08,6
2015-11-15,5
2015-11-22,6
2015-11-29,6
2015-12-06,5
2015-12-13,6
2015-12-20,7
2015-12-27,8
2016-01-03,7
2016-01-10,7
2016-01-17,7
2016-01-24,6
2016-01-31,6
2016-02-07,5
2016-02-14,6
2016-02-21,6
2016-02-28,6
2016-03-06,6
2016-03-13,7
2016-03-20,8
2016-03-27,7
2016-04-03,6
2016-04-10,6
2016-04-17,6
2016-04-24,7
2016-05-01,7
2016-05-08,6
2016-05-15,6
2016-05-22,6
2016-05-29,7
2016-06-05,7
2016-06-12,6
2016-06-19,7
2016-06-26,7
2016-07-03,8
2016-07-10,8
2016-07-17,7
2016-07-24,7
2016-07-31,7
2016-08-07,6
2016-08-14,6
2016-08-21,6
2016-08-28,6
2016-09-04,6
2016-09-11,6
2016-09-18,5
2016-09-25,7
2016-10-02,7
2016-10-09,6
2016-10-16,7
2016-10-23,7
2016-10-30,7
2016-11-06,6
2016-11-13,6
2016-11-20,6
2016-11-27,6
2016-12-04,5
2016-12-11,5
2016-12-18,6
2016-12-25,7
2017-01-01,6
2017-01-08,7
2017-01-15,6
2017-01-22,6
2017-01-29,6
2017-02-05,11
2017-02-12,8
2017-02-19,8
2017-02-26,7
2017-03-05,6
2017-03-12,6
2017-03-19,6
2017-03-26,5
2017-04-02,5
2017-04-09,6
2017-04-16,5
2017-04-23,6
2017-04-30,6
2017-05-07,6
2017-05-14,6
2017-05-21,15
2017-05-28,9
2017-06-04,8
2017-06-11,7
2017-06-18,9
2017-06-25,11
2017-07-02,56
2017-07-09,100
2017-07-16,40
2017-07-23,26
2017-07-30,20
2017-08-06,17
2017-08-13,13
2017-08-20,11
2017-08-27,11
2017-09-03,10
2017-09-10,9
2017-09-17,7
2017-09-24,10
2017-10-01,9
2017-10-08,9
2017-10-15,8
2017-10-22,9
2017-10-29,9
2017-11-05,9
2017-11-12,8
2017-11-19,8
2017-11-26,7
2017-12-03,7
2017-12-10,7
2017-12-17,8
2017-12-24,10
2017-12-31,9
2018-01-07,8
2018-01-14,9
2018-01-21,8
2018-01-28,8
2018-02-04,8
2018-02-11,8
2018-02-18,7
2018-02-25,7
2018-03-04,7
2018-03-11,7
2018-03-18,7
2018-03-25,7
2018-04-01,8
2018-04-08,7
2018-04-15,8
2018-04-22,7
2018-04-29,6
2018-05-06,7
2018-05-13,8
2018-05-20,9
2018-05-27,10
2018-06-03,11
2018-06-10,9
2018-06-17,9
2018-06-24,10
2018-07-01,12
2018-07-08,11
2018-07-15,9
2018-07-22,9
2018-07-29,13
2018-08-05,27
2018-08-12,20
2018-08-19,15
2018-08-26,13
2018-09-02,13
2018-09-09,10
2018-09-16,11
2018-09-23,13
2018-09-30,14
2018-10-07,14
2018-10-14,15
2018-10-21,41
2018-10-28,81
2018-11-04,43
2018-11-11,31
2018-11-18,25
2018-11-25,19
2018-12-02,17
2018-12-09,19
2018-12-16,19
2018-12-23,21
2018-12-30,19
2019-01-06,16
2019-01-13,14
2019-01-20,12
2019-01-27,11
2019-02-03,9
2019-02-10,10
2019-02-17,11
2019-02-24,9
2019-03-03,9
2019-03-10,10
2019-03-17,12
2019-03-24,10
2019-03-31,9
2019-04-07,9
2019-04-14,11
2019-04-21,10
2019-04-28,9
2019-05-05,9
2019-05-12,18
2019-05-19,15
2019-05-26,13
2019-06-02,11
2019-06-09,10
2019-06-16,13
2019-06-23,13
2019-06-30,16
2019-07-07,14
2019-07-14,13
2019-07-21,11
2019-07-28,9
2019-08-04,11
2019-08-11,11
2019-08-18,13
2019-08-25,10
2019-09-01,10
2019-09-08,9
2019-09-15,10
2019-09-22,10
2019-09-29,9
2019-10-06,11
2019-10-13,11
2019-10-20,10
2019-10-27,11
2019-11-03,10
2019-11-10,9
2019-11-17,9
2019-11-24,11
2019-12-01,9
2019-12-08,8
2019-12-15,10
2019-12-22,10
2019-12-29,11
2020-01-05,10
2020-01-12,10
2020-01-19,9
2020-01-26,9
2020-02-02,10
2020-02-09,10
2020-02-16,12
