Category: All categories

Week,Donkey Kong: (United States)
2015-03-01,57
2015-03-08,56
2015-03-15,57
2015-03-22,53
2015-03-29,63
2015-04-05,57
2015-04-12,58
2015-04-19,56
2015-04-26,44
2015-05-03,50
2015-05-10,53
2015-05-17,54
2015-05-24,56
2015-05-31,54
2015-06-07,47
2015-06-14,52
2015-06-21,46
2015-06-28,52
2015-07-05,53
2015-07-12,52
2015-07-19,59
2015-07-26,72
2015-08-02,68
2015-08-09,65
2015-08-16,59
2015-08-23,57
2015-08-30,55
2015-09-06,58
2015-09-13,54
2015-09-20,57
2015-09-27,53
2015-10-04,55
2015-10-11,58
2015-10-18,59
2015-10-25,63
2015-11-01,73
2015-11-08,82
2015-11-15,77
2015-11-22,83
2015-11-29,71
2015-12-06,74
2015-12-13,78
2015-12-20,68
2015-12-27,60
2016-01-03,63
2016-01-10,62
2016-01-17,60
2016-01-24,60
2016-01-31,53
2016-02-07,55
2016-02-14,57
2016-02-21,63
2016-02-28,59
2016-03-06,64
2016-03-13,62
2016-03-20,60
2016-03-27,56
2016-04-03,59
2016-04-10,55
2016-04-17,54
2016-04-24,57
2016-05-01,56
2016-05-08,57
2016-05-15,59
2016-05-22,57
2016-05-29,55
2016-06-05,53
2016-06-12,50
2016-06-19,45
2016-06-26,46
2016-07-03,48
2016-07-10,49
2016-07-17,44
2016-07-24,47
2016-07-31,45
2016-08-07,42
2016-08-14,41
2016-08-21,43
2016-08-28,46
2016-09-04,47
2016-09-11,44
2016-09-18,45
2016-09-25,46
2016-10-02,45
2016-10-09,45
2016-10-16,46
2016-10-23,49
2016-10-30,47
2016-11-06,42
2016-11-13,51
2016-11-20,54
2016-11-27,52
2016-12-04,52
2016-12-11,61
2016-12-18,57
2016-12-25,53
2017-01-01,52
2017-01-08,57
2017-01-15,55
2017-01-22,52
2017-01-29,52
2017-02-05,51
2017-02-12,50
2017-02-19,50
2017-02-26,53
2017-03-05,51
2017-03-12,48
2017-03-19,46
2017-03-26,46
2017-04-02,46
2017-04-09,44
2017-04-16,44
2017-04-23,50
2017-04-30,46
2017-05-07,47
2017-05-14,47
2017-05-21,49
2017-05-28,44
2017-06-04,41
2017-06-11,41
2017-06-18,45
2017-06-25,49
2017-07-02,44
2017-07-09,39
2017-07-16,39
2017-07-23,42
2017-07-30,42
2017-08-06,38
2017-08-13,35
2017-08-20,39
2017-08-27,41
2017-09-03,40
2017-09-10,42
2017-09-17,43
2017-09-24,47
2017-10-01,48
2017-10-08,49
2017-10-15,46
2017-10-22,53
2017-10-29,48
2017-11-05,46
2017-11-12,49
2017-11-19,50
2017-11-26,46
2017-12-03,52
2017-12-10,51
2017-12-17,56
2017-12-24,60
2017-12-31,56
2018-01-07,65
2018-01-14,57
2018-01-21,54
2018-01-28,57
2018-02-04,53
2018-02-11,53
2018-02-18,56
2018-02-25,55
2018-03-04,55
2018-03-11,52
2018-03-18,52
2018-03-25,48
2018-04-01,49
2018-04-08,60
2018-04-15,65
2018-04-22,57
2018-04-29,100
2018-05-06,96
2018-05-13,80
2018-05-20,72
2018-05-27,66
2018-06-03,61
2018-06-10,65
2018-06-17,57
2018-06-24,51
2018-07-01,49
2018-07-08,49
2018-07-15,49
2018-07-22,47
2018-07-29,45
2018-08-05,56
2018-08-12,56
2018-08-19,49
2018-08-26,48
2018-09-02,46
2018-09-09,44
2018-09-16,49
2018-09-23,47
2018-09-30,48
2018-10-07,44
2018-10-14,48
2018-10-21,45
2018-10-28,47
2018-11-04,44
2018-11-11,46
2018-11-18,61
2018-11-25,58
2018-12-02,57
2018-12-09,64
2018-12-16,68
2018-12-23,80
2018-12-30,74
2019-01-06,64
2019-01-13,60
2019-01-20,73
2019-01-27,60
2019-02-03,54
2019-02-10,57
2019-02-17,51
2019-02-24,47
2019-03-03,50
2019-03-10,54
2019-03-17,48
2019-03-24,46
2019-03-31,49
2019-04-07,45
2019-04-14,45
2019-04-21,47
2019-04-28,42
2019-05-05,44
2019-05-12,46
2019-05-19,45
2019-05-26,45
2019-06-02,39
2019-06-09,43
2019-06-16,44
2019-06-23,39
2019-06-30,38
2019-07-07,43
2019-07-14,39
2019-07-21,38
2019-07-28,40
2019-08-04,36
2019-08-11,36
2019-08-18,40
2019-08-25,37
2019-09-01,39
2019-09-08,40
2019-09-15,39
2019-09-22,43
2019-09-29,46
2019-10-06,41
2019-10-13,42
2019-10-20,44
2019-10-27,42
2019-11-03,37
2019-11-10,38
2019-11-17,43
2019-11-24,42
2019-12-01,42
2019-12-08,47
2019-12-15,49
2019-12-22,50
2019-12-29,48
2020-01-05,49
2020-01-12,47
2020-01-19,44
2020-01-26,45
2020-02-02,51
2020-02-09,44
2020-02-16,43
