Category: All categories

Week,dragon quest: (United States)
2015-03-01,31
2015-03-08,28
2015-03-15,24
2015-03-22,22
2015-03-29,21
2015-04-05,19
2015-04-12,16
2015-04-19,14
2015-04-26,15
2015-05-03,14
2015-05-10,16
2015-05-17,14
2015-05-24,17
2015-05-31,16
2015-06-07,16
2015-06-14,18
2015-06-21,17
2015-06-28,19
2015-07-05,20
2015-07-12,17
2015-07-19,17
2015-07-26,30
2015-08-02,22
2015-08-09,20
2015-08-16,20
2015-08-23,17
2015-08-30,16
2015-09-06,17
2015-09-13,16
2015-09-20,15
2015-09-27,16
2015-10-04,21
2015-10-11,36
2015-10-18,24
2015-10-25,20
2015-11-01,16
2015-11-08,20
2015-11-15,18
2015-11-22,22
2015-11-29,21
2015-12-06,19
2015-12-13,17
2015-12-20,22
2015-12-27,25
2016-01-03,19
2016-01-10,18
2016-01-17,17
2016-01-24,17
2016-01-31,16
2016-02-07,15
2016-02-14,16
2016-02-21,14
2016-02-28,15
2016-03-06,13
2016-03-13,14
2016-03-20,12
2016-03-27,14
2016-04-03,13
2016-04-10,12
2016-04-17,13
2016-04-24,13
2016-05-01,12
2016-05-08,12
2016-05-15,13
2016-05-22,17
2016-05-29,17
2016-06-05,17
2016-06-12,18
2016-06-19,18
2016-06-26,16
2016-07-03,17
2016-07-10,14
2016-07-17,14
2016-07-24,15
2016-07-31,16
2016-08-07,15
2016-08-14,14
2016-08-21,16
2016-08-28,15
2016-09-04,16
2016-09-11,26
2016-09-18,32
2016-09-25,33
2016-10-02,32
2016-10-09,47
2016-10-16,43
2016-10-23,32
2016-10-30,27
2016-11-06,24
2016-11-13,22
2016-11-20,24
2016-11-27,18
2016-12-04,18
2016-12-11,23
2016-12-18,26
2016-12-25,31
2017-01-01,26
2017-01-08,26
2017-01-15,35
2017-01-22,41
2017-01-29,33
2017-02-05,28
2017-02-12,27
2017-02-19,26
2017-02-26,20
2017-03-05,21
2017-03-12,19
2017-03-19,18
2017-03-26,17
2017-04-02,16
2017-04-09,20
2017-04-16,17
2017-04-23,26
2017-04-30,27
2017-05-07,24
2017-05-14,22
2017-05-21,19
2017-05-28,20
2017-06-04,19
2017-06-11,17
2017-06-18,19
2017-06-25,17
2017-07-02,19
2017-07-09,16
2017-07-16,17
2017-07-23,19
2017-07-30,23
2017-08-06,25
2017-08-13,18
2017-08-20,16
2017-08-27,14
2017-09-03,13
2017-09-10,15
2017-09-17,14
2017-09-24,12
2017-10-01,12
2017-10-08,13
2017-10-15,11
2017-10-22,13
2017-10-29,11
2017-11-05,12
2017-11-12,12
2017-11-19,15
2017-11-26,14
2017-12-03,13
2017-12-10,13
2017-12-17,16
2017-12-24,19
2017-12-31,18
2018-01-07,18
2018-01-14,18
2018-01-21,17
2018-01-28,16
2018-02-04,20
2018-02-11,28
2018-02-18,26
2018-02-25,21
2018-03-04,20
2018-03-11,18
2018-03-18,18
2018-03-25,24
2018-04-01,22
2018-04-08,19
2018-04-15,16
2018-04-22,17
2018-04-29,17
2018-05-06,17
2018-05-13,18
2018-05-20,16
2018-05-27,17
2018-06-03,17
2018-06-10,21
2018-06-17,17
2018-06-24,18
2018-07-01,20
2018-07-08,17
2018-07-15,19
2018-07-22,18
2018-07-29,16
2018-08-05,19
2018-08-12,20
2018-08-19,20
2018-08-26,42
2018-09-02,99
2018-09-09,100
2018-09-16,95
2018-09-23,83
2018-09-30,67
2018-10-07,59
2018-10-14,45
2018-10-21,38
2018-10-28,32
2018-11-04,29
2018-11-11,29
2018-11-18,36
2018-11-25,32
2018-12-02,29
2018-12-09,27
2018-12-16,35
2018-12-23,51
2018-12-30,51
2019-01-06,38
2019-01-13,31
2019-01-20,32
2019-01-27,24
2019-02-03,23
2019-02-10,31
2019-02-17,26
2019-02-24,25
2019-03-03,25
2019-03-10,23
2019-03-17,20
2019-03-24,19
2019-03-31,18
2019-04-07,19
2019-04-14,18
2019-04-21,16
2019-04-28,19
2019-05-05,19
2019-05-12,17
2019-05-19,21
2019-05-26,21
2019-06-02,24
2019-06-09,68
2019-06-16,41
2019-06-23,32
2019-06-30,33
2019-07-07,46
2019-07-14,69
2019-07-21,64
2019-07-28,73
2019-08-04,58
2019-08-11,51
2019-08-18,53
2019-08-25,45
2019-09-01,38
2019-09-08,29
2019-09-15,31
2019-09-22,46
2019-09-29,63
2019-10-06,54
2019-10-13,48
2019-10-20,42
2019-10-27,34
2019-11-03,32
2019-11-10,31
2019-11-17,25
2019-11-24,30
2019-12-01,26
2019-12-08,24
2019-12-15,27
2019-12-22,42
2019-12-29,45
2020-01-05,33
2020-01-12,31
2020-01-19,32
2020-01-26,28
2020-02-02,27
2020-02-09,34
2020-02-16,47
