Category: All categories

Week,fire emblem: (United States)
2015-03-01,9
2015-03-08,9
2015-03-15,10
2015-03-22,10
2015-03-29,15
2015-04-05,14
2015-04-12,11
2015-04-19,10
2015-04-26,9
2015-05-03,10
2015-05-10,11
2015-05-17,11
2015-05-24,11
2015-05-31,13
2015-06-07,13
2015-06-14,17
2015-06-21,24
2015-06-28,23
2015-07-05,18
2015-07-12,16
2015-07-19,15
2015-07-26,15
2015-08-02,14
2015-08-09,13
2015-08-16,12
2015-08-23,11
2015-08-30,10
2015-09-06,11
2015-09-13,9
2015-09-20,9
2015-09-27,9
2015-10-04,9
2015-10-11,9
2015-10-18,9
2015-10-25,8
2015-11-01,9
2015-11-08,11
2015-11-15,11
2015-11-22,12
2015-11-29,10
2015-12-06,10
2015-12-13,14
2015-12-20,15
2015-12-27,16
2016-01-03,15
2016-01-10,15
2016-01-17,18
2016-01-24,19
2016-01-31,23
2016-02-07,25
2016-02-14,56
2016-02-21,86
2016-02-28,59
2016-03-06,51
2016-03-13,42
2016-03-20,39
2016-03-27,34
2016-04-03,28
2016-04-10,24
2016-04-17,23
2016-04-24,21
2016-05-01,19
2016-05-08,19
2016-05-15,19
2016-05-22,17
2016-05-29,19
2016-06-05,17
2016-06-12,16
2016-06-19,17
2016-06-26,17
2016-07-03,16
2016-07-10,13
2016-07-17,12
2016-07-24,13
2016-07-31,12
2016-08-07,12
2016-08-14,11
2016-08-21,11
2016-08-28,10
2016-09-04,10
2016-09-11,9
2016-09-18,9
2016-09-25,9
2016-10-02,9
2016-10-09,9
2016-10-16,9
2016-10-23,8
2016-10-30,8
2016-11-06,7
2016-11-13,8
2016-11-20,8
2016-11-27,7
2016-12-04,8
2016-12-11,8
2016-12-18,9
2016-12-25,11
2017-01-01,9
2017-01-08,11
2017-01-15,26
2017-01-22,18
2017-01-29,45
2017-02-05,61
2017-02-12,44
2017-02-19,34
2017-02-26,29
2017-03-05,26
2017-03-12,30
2017-03-19,29
2017-03-26,26
2017-04-02,24
2017-04-09,24
2017-04-16,23
2017-04-23,24
2017-04-30,23
2017-05-07,24
2017-05-14,31
2017-05-21,34
2017-05-28,30
2017-06-04,24
2017-06-11,24
2017-06-18,20
2017-06-25,21
2017-07-02,22
2017-07-09,19
2017-07-16,18
2017-07-23,18
2017-07-30,17
2017-08-06,19
2017-08-13,18
2017-08-20,15
2017-08-27,21
2017-09-03,21
2017-09-10,20
2017-09-17,18
2017-09-24,19
2017-10-01,16
2017-10-08,17
2017-10-15,23
2017-10-22,24
2017-10-29,19
2017-11-05,16
2017-11-12,18
2017-11-19,16
2017-11-26,18
2017-12-03,18
2017-12-10,16
2017-12-17,19
2017-12-24,23
2017-12-31,20
2018-01-07,18
2018-01-14,18
2018-01-21,19
2018-01-28,19
2018-02-04,18
2018-02-11,16
2018-02-18,18
2018-02-25,17
2018-03-04,18
2018-03-11,15
2018-03-18,17
2018-03-25,17
2018-04-01,15
2018-04-08,15
2018-04-15,14
2018-04-22,15
2018-04-29,14
2018-05-06,16
2018-05-13,14
2018-05-20,15
2018-05-27,16
2018-06-03,14
2018-06-10,18
2018-06-17,15
2018-06-24,14
2018-07-01,14
2018-07-08,14
2018-07-15,13
2018-07-22,13
2018-07-29,12
2018-08-05,12
2018-08-12,13
2018-08-19,13
2018-08-26,11
2018-09-02,12
2018-09-09,11
2018-09-16,11
2018-09-23,10
2018-09-30,9
2018-10-07,10
2018-10-14,8
2018-10-21,9
2018-10-28,9
2018-11-04,9
2018-11-11,9
2018-11-18,10
2018-11-25,9
2018-12-02,9
2018-12-09,13
2018-12-16,13
2018-12-23,16
2018-12-30,17
2019-01-06,14
2019-01-13,12
2019-01-20,13
2019-01-27,12
2019-02-03,12
2019-02-10,17
2019-02-17,13
2019-02-24,11
2019-03-03,11
2019-03-10,10
2019-03-17,10
2019-03-24,10
2019-03-31,9
2019-04-07,9
2019-04-14,8
2019-04-21,9
2019-04-28,9
2019-05-05,10
2019-05-12,10
2019-05-19,10
2019-05-26,11
2019-06-02,10
2019-06-09,15
2019-06-16,13
2019-06-23,12
2019-06-30,13
2019-07-07,17
2019-07-14,21
2019-07-21,60
2019-07-28,100
2019-08-04,73
2019-08-11,56
2019-08-18,44
2019-08-25,34
2019-09-01,28
2019-09-08,24
2019-09-15,21
2019-09-22,19
2019-09-29,18
2019-10-06,16
2019-10-13,16
2019-10-20,15
2019-10-27,13
2019-11-03,14
2019-11-10,12
2019-11-17,11
2019-11-24,14
2019-12-01,11
2019-12-08,12
2019-12-15,12
2019-12-22,17
2019-12-29,17
2020-01-05,15
2020-01-12,21
2020-01-19,20
2020-01-26,18
2020-02-02,18
2020-02-09,20
2020-02-16,18
