Category: All categories

Week,mario: (United States)
2015-03-01,56
2015-03-08,55
2015-03-15,60
2015-03-22,58
2015-03-29,60
2015-04-05,56
2015-04-12,55
2015-04-19,57
2015-04-26,54
2015-05-03,52
2015-05-10,52
2015-05-17,55
2015-05-24,57
2015-05-31,55
2015-06-07,53
2015-06-14,57
2015-06-21,55
2015-06-28,56
2015-07-05,54
2015-07-12,56
2015-07-19,57
2015-07-26,57
2015-08-02,54
2015-08-09,56
2015-08-16,54
2015-08-23,53
2015-08-30,54
2015-09-06,64
2015-09-13,82
2015-09-20,65
2015-09-27,62
2015-10-04,61
2015-10-11,60
2015-10-18,62
2015-10-25,65
2015-11-01,55
2015-11-08,57
2015-11-15,56
2015-11-22,62
2015-11-29,58
2015-12-06,58
2015-12-13,62
2015-12-20,67
2015-12-27,69
2016-01-03,57
2016-01-10,54
2016-01-17,60
2016-01-24,60
2016-01-31,56
2016-02-07,56
2016-02-14,53
2016-02-21,51
2016-02-28,52
2016-03-06,57
2016-03-13,50
2016-03-20,52
2016-03-27,50
2016-04-03,48
2016-04-10,49
2016-04-17,47
2016-04-24,47
2016-05-01,47
2016-05-08,48
2016-05-15,49
2016-05-22,47
2016-05-29,49
2016-06-05,47
2016-06-12,50
2016-06-19,47
2016-06-26,50
2016-07-03,50
2016-07-10,49
2016-07-17,49
2016-07-24,47
2016-07-31,47
2016-08-07,44
2016-08-14,43
2016-08-21,46
2016-08-28,43
2016-09-04,50
2016-09-11,48
2016-09-18,48
2016-09-25,50
2016-10-02,55
2016-10-09,49
2016-10-16,51
2016-10-23,54
2016-10-30,49
2016-11-06,45
2016-11-13,51
2016-11-20,57
2016-11-27,54
2016-12-04,57
2016-12-11,90
2016-12-18,84
2016-12-25,69
2017-01-01,60
2017-01-08,64
2017-01-15,61
2017-01-22,55
2017-01-29,55
2017-02-05,50
2017-02-12,48
2017-02-19,49
2017-02-26,49
2017-03-05,52
2017-03-12,51
2017-03-19,53
2017-03-26,50
2017-04-02,47
2017-04-09,48
2017-04-16,48
2017-04-23,58
2017-04-30,61
2017-05-07,53
2017-05-14,51
2017-05-21,50
2017-05-28,50
2017-06-04,48
2017-06-11,60
2017-06-18,50
2017-06-25,50
2017-07-02,49
2017-07-09,48
2017-07-16,47
2017-07-23,49
2017-07-30,48
2017-08-06,46
2017-08-13,44
2017-08-20,44
2017-08-27,49
2017-09-03,47
2017-09-10,50
2017-09-17,48
2017-09-24,51
2017-10-01,53
2017-10-08,55
2017-10-15,59
2017-10-22,91
2017-10-29,89
2017-11-05,72
2017-11-12,69
2017-11-19,77
2017-11-26,68
2017-12-03,65
2017-12-10,100
2017-12-17,75
2017-12-24,92
2017-12-31,75
2018-01-07,65
2018-01-14,66
2018-01-21,58
2018-01-28,62
2018-02-04,61
2018-02-11,57
2018-02-18,56
2018-02-25,54
2018-03-04,59
2018-03-11,58
2018-03-18,54
2018-03-25,54
2018-04-01,52
2018-04-08,49
2018-04-15,48
2018-04-22,47
2018-04-29,45
2018-05-06,45
2018-05-13,50
2018-05-20,56
2018-05-27,53
2018-06-03,50
2018-06-10,52
2018-06-17,55
2018-06-24,54
2018-07-01,56
2018-07-08,50
2018-07-15,51
2018-07-22,49
2018-07-29,47
2018-08-05,47
2018-08-12,53
2018-08-19,48
2018-08-26,48
2018-09-02,50
2018-09-09,46
2018-09-16,61
2018-09-23,54
2018-09-30,61
2018-10-07,60
2018-10-14,55
2018-10-21,51
2018-10-28,56
2018-11-04,51
2018-11-11,53
2018-11-18,66
2018-11-25,56
2018-12-02,57
2018-12-09,56
2018-12-16,60
2018-12-23,77
2018-12-30,69
2019-01-06,62
2019-01-13,59
2019-01-20,57
2019-01-27,54
2019-02-03,49
2019-02-10,54
2019-02-17,52
2019-02-24,49
2019-03-03,52
2019-03-10,54
2019-03-17,47
2019-03-24,48
2019-03-31,47
2019-04-07,45
2019-04-14,44
2019-04-21,44
2019-04-28,45
2019-05-05,43
2019-05-12,48
2019-05-19,51
2019-05-26,49
2019-06-02,48
2019-06-09,48
2019-06-16,49
2019-06-23,57
2019-06-30,60
2019-07-07,57
2019-07-14,55
2019-07-21,51
2019-07-28,54
2019-08-04,46
2019-08-11,47
2019-08-18,46
2019-08-25,45
2019-09-01,45
2019-09-08,44
2019-09-15,45
2019-09-22,85
2019-09-29,78
2019-10-06,60
2019-10-13,55
2019-10-20,58
2019-10-27,56
2019-11-03,51
2019-11-10,49
2019-11-17,49
2019-11-24,59
2019-12-01,61
2019-12-08,53
2019-12-15,55
2019-12-22,65
2019-12-29,57
2020-01-05,48
2020-01-12,48
2020-01-19,47
2020-01-26,45
2020-02-02,44
2020-02-09,45
2020-02-16,45
