Category: All categories

Week,metroid: (United States)
2015-03-01,25
2015-03-08,26
2015-03-15,24
2015-03-22,23
2015-03-29,25
2015-04-05,25
2015-04-12,24
2015-04-19,22
2015-04-26,22
2015-05-03,25
2015-05-10,22
2015-05-17,23
2015-05-24,25
2015-05-31,24
2015-06-07,24
2015-06-14,60
2015-06-21,30
2015-06-28,27
2015-07-05,25
2015-07-12,23
2015-07-19,22
2015-07-26,26
2015-08-02,24
2015-08-09,24
2015-08-16,20
2015-08-23,21
2015-08-30,22
2015-09-06,18
2015-09-13,18
2015-09-20,21
2015-09-27,20
2015-10-04,19
2015-10-11,18
2015-10-18,17
2015-10-25,18
2015-11-01,20
2015-11-08,16
2015-11-15,16
2015-11-22,20
2015-11-29,17
2015-12-06,19
2015-12-13,17
2015-12-20,22
2015-12-27,21
2016-01-03,22
2016-01-10,23
2016-01-17,22
2016-01-24,21
2016-01-31,18
2016-02-07,19
2016-02-14,18
2016-02-21,19
2016-02-28,21
2016-03-06,20
2016-03-13,18
2016-03-20,18
2016-03-27,18
2016-04-03,18
2016-04-10,19
2016-04-17,22
2016-04-24,20
2016-05-01,19
2016-05-08,19
2016-05-15,20
2016-05-22,20
2016-05-29,21
2016-06-05,19
2016-06-12,22
2016-06-19,18
2016-06-26,20
2016-07-03,19
2016-07-10,20
2016-07-17,21
2016-07-24,21
2016-07-31,22
2016-08-07,43
2016-08-14,38
2016-08-21,32
2016-08-28,25
2016-09-04,24
2016-09-11,21
2016-09-18,19
2016-09-25,17
2016-10-02,16
2016-10-09,16
2016-10-16,17
2016-10-23,15
2016-10-30,14
2016-11-06,13
2016-11-13,22
2016-11-20,20
2016-11-27,18
2016-12-04,16
2016-12-11,18
2016-12-18,19
2016-12-25,22
2017-01-01,20
2017-01-08,24
2017-01-15,26
2017-01-22,18
2017-01-29,19
2017-02-05,19
2017-02-12,19
2017-02-19,20
2017-02-26,20
2017-03-05,20
2017-03-12,18
2017-03-19,17
2017-03-26,17
2017-04-02,16
2017-04-09,15
2017-04-16,17
2017-04-23,18
2017-04-30,16
2017-05-07,18
2017-05-14,16
2017-05-21,16
2017-05-28,17
2017-06-04,17
2017-06-11,100
2017-06-18,46
2017-06-25,36
2017-07-02,32
2017-07-09,26
2017-07-16,23
2017-07-23,25
2017-07-30,25
2017-08-06,28
2017-08-13,23
2017-08-20,23
2017-08-27,26
2017-09-03,33
2017-09-10,61
2017-09-17,67
2017-09-24,50
2017-10-01,42
2017-10-08,34
2017-10-15,28
2017-10-22,24
2017-10-29,22
2017-11-05,23
2017-11-12,21
2017-11-19,23
2017-11-26,19
2017-12-03,20
2017-12-10,20
2017-12-17,21
2017-12-24,31
2017-12-31,25
2018-01-07,24
2018-01-14,22
2018-01-21,20
2018-01-28,18
2018-02-04,21
2018-02-11,20
2018-02-18,18
2018-02-25,17
2018-03-04,20
2018-03-11,22
2018-03-18,17
2018-03-25,19
2018-04-01,17
2018-04-08,16
2018-04-15,18
2018-04-22,17
2018-04-29,15
2018-05-06,17
2018-05-13,18
2018-05-20,17
2018-05-27,20
2018-06-03,20
2018-06-10,49
2018-06-17,26
2018-06-24,28
2018-07-01,26
2018-07-08,22
2018-07-15,21
2018-07-22,20
2018-07-29,22
2018-08-05,25
2018-08-12,24
2018-08-19,25
2018-08-26,22
2018-09-02,22
2018-09-09,19
2018-09-16,17
2018-09-23,18
2018-09-30,18
2018-10-07,16
2018-10-14,16
2018-10-21,14
2018-10-28,16
2018-11-04,18
2018-11-11,21
2018-11-18,24
2018-11-25,20
2018-12-02,29
2018-12-09,28
2018-12-16,31
2018-12-23,38
2018-12-30,35
2019-01-06,28
2019-01-13,28
2019-01-20,41
2019-01-27,30
2019-02-03,21
2019-02-10,24
2019-02-17,21
2019-02-24,18
2019-03-03,17
2019-03-10,17
2019-03-17,16
2019-03-24,15
2019-03-31,16
2019-04-07,14
2019-04-14,16
2019-04-21,15
2019-04-28,12
2019-05-05,16
2019-05-12,16
2019-05-19,15
2019-05-26,15
2019-06-02,15
2019-06-09,20
2019-06-16,16
2019-06-23,16
2019-06-30,16
2019-07-07,15
2019-07-14,16
2019-07-21,15
2019-07-28,13
2019-08-04,14
2019-08-11,15
2019-08-18,14
2019-08-25,12
2019-09-01,20
2019-09-08,26
2019-09-15,20
2019-09-22,17
2019-09-29,16
2019-10-06,15
2019-10-13,14
2019-10-20,15
2019-10-27,13
2019-11-03,13
2019-11-10,13
2019-11-17,13
2019-11-24,15
2019-12-01,14
2019-12-08,13
2019-12-15,14
2019-12-22,16
2019-12-29,17
2020-01-05,15
2020-01-12,17
2020-01-19,17
2020-01-26,15
2020-02-02,16
2020-02-09,16
2020-02-16,18
