Category: All categories

Week,persona: (United States)
2015-03-01,19
2015-03-08,19
2015-03-15,18
2015-03-22,17
2015-03-29,17
2015-04-05,17
2015-04-12,16
2015-04-19,16
2015-04-26,15
2015-05-03,16
2015-05-10,16
2015-05-17,16
2015-05-24,21
2015-05-31,18
2015-06-07,16
2015-06-14,17
2015-06-21,19
2015-06-28,18
2015-07-05,17
2015-07-12,16
2015-07-19,17
2015-07-26,17
2015-08-02,16
2015-08-09,16
2015-08-16,17
2015-08-23,16
2015-08-30,16
2015-09-06,17
2015-09-13,19
2015-09-20,17
2015-09-27,17
2015-10-04,16
2015-10-11,15
2015-10-18,15
2015-10-25,14
2015-11-01,14
2015-11-08,14
2015-11-15,13
2015-11-22,13
2015-11-29,13
2015-12-06,13
2015-12-13,13
2015-12-20,13
2015-12-27,15
2016-01-03,15
2016-01-10,15
2016-01-17,16
2016-01-24,16
2016-01-31,15
2016-02-07,15
2016-02-14,15
2016-02-21,15
2016-02-28,14
2016-03-06,14
2016-03-13,14
2016-03-20,13
2016-03-27,15
2016-04-03,14
2016-04-10,14
2016-04-17,14
2016-04-24,14
2016-05-01,18
2016-05-08,16
2016-05-15,15
2016-05-22,15
2016-05-29,14
2016-06-05,17
2016-06-12,16
2016-06-19,15
2016-06-26,14
2016-07-03,14
2016-07-10,13
2016-07-17,14
2016-07-24,14
2016-07-31,13
2016-08-07,14
2016-08-14,13
2016-08-21,14
2016-08-28,14
2016-09-04,15
2016-09-11,16
2016-09-18,16
2016-09-25,15
2016-10-02,14
2016-10-09,15
2016-10-16,14
2016-10-23,13
2016-10-30,13
2016-11-06,12
2016-11-13,15
2016-11-20,12
2016-11-27,13
2016-12-04,13
2016-12-11,12
2016-12-18,12
2016-12-25,14
2017-01-01,13
2017-01-08,14
2017-01-15,15
2017-01-22,14
2017-01-29,14
2017-02-05,14
2017-02-12,14
2017-02-19,15
2017-02-26,14
2017-03-05,15
2017-03-12,17
2017-03-19,18
2017-03-26,26
2017-04-02,77
2017-04-09,100
2017-04-16,87
2017-04-23,74
2017-04-30,63
2017-05-07,56
2017-05-14,50
2017-05-21,43
2017-05-28,42
2017-06-04,37
2017-06-11,35
2017-06-18,35
2017-06-25,32
2017-07-02,33
2017-07-09,31
2017-07-16,29
2017-07-23,29
2017-07-30,33
2017-08-06,29
2017-08-13,27
2017-08-20,26
2017-08-27,24
2017-09-03,24
2017-09-10,21
2017-09-17,22
2017-09-24,21
2017-10-01,20
2017-10-08,20
2017-10-15,20
2017-10-22,20
2017-10-29,19
2017-11-05,20
2017-11-12,20
2017-11-19,22
2017-11-26,24
2017-12-03,23
2017-12-10,23
2017-12-17,25
2017-12-24,33
2017-12-31,32
2018-01-07,28
2018-01-14,27
2018-01-21,27
2018-01-28,25
2018-02-04,24
2018-02-11,22
2018-02-18,24
2018-02-25,23
2018-03-04,23
2018-03-11,22
2018-03-18,22
2018-03-25,24
2018-04-01,24
2018-04-08,25
2018-04-15,26
2018-04-22,24
2018-04-29,25
2018-05-06,25
2018-05-13,26
2018-05-20,26
2018-05-27,25
2018-06-03,23
2018-06-10,23
2018-06-17,23
2018-06-24,22
2018-07-01,23
2018-07-08,23
2018-07-15,22
2018-07-22,22
2018-07-29,22
2018-08-05,23
2018-08-12,22
2018-08-19,21
2018-08-26,21
2018-09-02,21
2018-09-09,19
2018-09-16,19
2018-09-23,20
2018-09-30,19
2018-10-07,19
2018-10-14,18
2018-10-21,18
2018-10-28,18
2018-11-04,18
2018-11-11,17
2018-11-18,18
2018-11-25,20
2018-12-02,32
2018-12-09,27
2018-12-16,25
2018-12-23,27
2018-12-30,31
2019-01-06,27
2019-01-13,25
2019-01-20,25
2019-01-27,24
2019-02-03,23
2019-02-10,24
2019-02-17,23
2019-02-24,22
2019-03-03,22
2019-03-10,23
2019-03-17,26
2019-03-24,26
2019-03-31,27
2019-04-07,31
2019-04-14,42
2019-04-21,52
2019-04-28,36
2019-05-05,34
2019-05-12,32
2019-05-19,32
2019-05-26,33
2019-06-02,32
2019-06-09,30
2019-06-16,29
2019-06-23,30
2019-06-30,28
2019-07-07,28
2019-07-14,26
2019-07-21,26
2019-07-28,24
2019-08-04,26
2019-08-11,25
2019-08-18,25
2019-08-25,23
2019-09-01,23
2019-09-08,24
2019-09-15,22
2019-09-22,22
2019-09-29,24
2019-10-06,23
2019-10-13,23
2019-10-20,23
2019-10-27,24
2019-11-03,26
2019-11-10,24
2019-11-17,22
2019-11-24,24
2019-12-01,27
2019-12-08,24
2019-12-15,23
2019-12-22,25
2019-12-29,26
2020-01-05,27
2020-01-12,27
2020-01-19,26
2020-01-26,27
2020-02-02,26
2020-02-09,26
2020-02-16,29
