Category: All categories

Week,pokémon: (United States)
2015-03-01,3
2015-03-08,3
2015-03-15,3
2015-03-22,3
2015-03-29,3
2015-04-05,3
2015-04-12,3
2015-04-19,3
2015-04-26,3
2015-05-03,3
2015-05-10,3
2015-05-17,3
2015-05-24,4
2015-05-31,3
2015-06-07,4
2015-06-14,4
2015-06-21,4
2015-06-28,4
2015-07-05,4
2015-07-12,4
2015-07-19,4
2015-07-26,4
2015-08-02,5
2015-08-09,4
2015-08-16,4
2015-08-23,4
2015-08-30,4
2015-09-06,5
2015-09-13,5
2015-09-20,4
2015-09-27,4
2015-10-04,4
2015-10-11,4
2015-10-18,4
2015-10-25,4
2015-11-01,3
2015-11-08,4
2015-11-15,4
2015-11-22,5
2015-11-29,4
2015-12-06,4
2015-12-13,4
2015-12-20,5
2015-12-27,5
2016-01-03,4
2016-01-10,4
2016-01-17,4
2016-01-24,5
2016-01-31,4
2016-02-07,5
2016-02-14,5
2016-02-21,7
2016-02-28,8
2016-03-06,6
2016-03-13,6
2016-03-20,6
2016-03-27,5
2016-04-03,5
2016-04-10,5
2016-04-17,4
2016-04-24,4
2016-05-01,4
2016-05-08,6
2016-05-15,6
2016-05-22,5
2016-05-29,6
2016-06-05,6
2016-06-12,6
2016-06-19,5
2016-06-26,5
2016-07-03,34
2016-07-10,100
2016-07-17,67
2016-07-24,50
2016-07-31,45
2016-08-07,31
2016-08-14,24
2016-08-21,19
2016-08-28,17
2016-09-04,16
2016-09-11,16
2016-09-18,13
2016-09-25,12
2016-10-02,11
2016-10-09,11
2016-10-16,10
2016-10-23,11
2016-10-30,10
2016-11-06,9
2016-11-13,12
2016-11-20,21
2016-11-27,14
2016-12-04,13
2016-12-11,13
2016-12-18,13
2016-12-25,14
2017-01-01,11
2017-01-08,9
2017-01-15,9
2017-01-22,8
2017-01-29,8
2017-02-05,7
2017-02-12,9
2017-02-19,10
2017-02-26,9
2017-03-05,8
2017-03-12,8
2017-03-19,7
2017-03-26,7
2017-04-02,6
2017-04-09,7
2017-04-16,6
2017-04-23,5
2017-04-30,6
2017-05-07,6
2017-05-14,6
2017-05-21,6
2017-05-28,6
2017-06-04,6
2017-06-11,7
2017-06-18,8
2017-06-25,8
2017-07-02,8
2017-07-09,7
2017-07-16,8
2017-07-23,10
2017-07-30,8
2017-08-06,7
2017-08-13,6
2017-08-20,6
2017-08-27,6
2017-09-03,5
2017-09-10,5
2017-09-17,5
2017-09-24,5
2017-10-01,5
2017-10-08,5
2017-10-15,5
2017-10-22,5
2017-10-29,5
2017-11-05,6
2017-11-12,6
2017-11-19,8
2017-11-26,6
2017-12-03,6
2017-12-10,6
2017-12-17,6
2017-12-24,7
2017-12-31,7
2018-01-07,5
2018-01-14,6
2018-01-21,5
2018-01-28,5
2018-02-04,5
2018-02-11,5
2018-02-18,5
2018-02-25,5
2018-03-04,4
2018-03-11,5
2018-03-18,4
2018-03-25,5
2018-04-01,5
2018-04-08,5
2018-04-15,6
2018-04-22,5
2018-04-29,4
2018-05-06,5
2018-05-13,5
2018-05-20,5
2018-05-27,7
2018-06-03,6
2018-06-10,6
2018-06-17,6
2018-06-24,7
2018-07-01,7
2018-07-08,7
2018-07-15,7
2018-07-22,6
2018-07-29,6
2018-08-05,6
2018-08-12,6
2018-08-19,6
2018-08-26,5
2018-09-02,5
2018-09-09,5
2018-09-16,5
2018-09-23,5
2018-09-30,5
2018-10-07,5
2018-10-14,4
2018-10-21,5
2018-10-28,4
2018-11-04,5
2018-11-11,10
2018-11-18,11
2018-11-25,7
2018-12-02,6
2018-12-09,6
2018-12-16,6
2018-12-23,7
2018-12-30,6
2019-01-06,5
2019-01-13,5
2019-01-20,5
2019-01-27,5
2019-02-03,5
2019-02-10,5
2019-02-17,5
2019-02-24,7
2019-03-03,6
2019-03-10,5
2019-03-17,5
2019-03-24,5
2019-03-31,5
2019-04-07,5
2019-04-14,6
2019-04-21,5
2019-04-28,6
2019-05-05,13
2019-05-12,20
2019-05-19,23
2019-05-26,24
2019-06-02,17
2019-06-09,13
2019-06-16,9
2019-06-23,9
2019-06-30,7
2019-07-07,7
2019-07-14,8
2019-07-21,9
2019-07-28,9
2019-08-04,8
2019-08-11,7
2019-08-18,7
2019-08-25,7
2019-09-01,6
2019-09-08,5
2019-09-15,7
2019-09-22,6
2019-09-29,6
2019-10-06,5
2019-10-13,6
2019-10-20,6
2019-10-27,6
2019-11-03,7
2019-11-10,11
2019-11-17,15
2019-11-24,14
2019-12-01,9
2019-12-08,9
2019-12-15,8
2019-12-22,10
2019-12-29,10
2020-01-05,8
2020-01-12,8
2020-01-19,8
2020-01-26,7
2020-02-02,10
2020-02-09,8
2020-02-16,7
