Category: All categories

Week,splatoon: (United States)
2015-03-01,2
2015-03-08,2
2015-03-15,2
2015-03-22,5
2015-03-29,7
2015-04-05,5
2015-04-12,3
2015-04-19,5
2015-04-26,4
2015-05-03,25
2015-05-10,24
2015-05-17,28
2015-05-24,68
2015-05-31,100
2015-06-07,72
2015-06-14,47
2015-06-21,41
2015-06-28,44
2015-07-05,35
2015-07-12,28
2015-07-19,26
2015-07-26,31
2015-08-02,37
2015-08-09,31
2015-08-16,29
2015-08-23,26
2015-08-30,27
2015-09-06,24
2015-09-13,24
2015-09-20,21
2015-09-27,19
2015-10-04,17
2015-10-11,17
2015-10-18,16
2015-10-25,14
2015-11-01,13
2015-11-08,15
2015-11-15,15
2015-11-22,24
2015-11-29,21
2015-12-06,18
2015-12-13,20
2015-12-20,27
2015-12-27,28
2016-01-03,17
2016-01-10,15
2016-01-17,18
2016-01-24,14
2016-01-31,12
2016-02-07,12
2016-02-14,13
2016-02-21,13
2016-02-28,10
2016-03-06,11
2016-03-13,11
2016-03-20,11
2016-03-27,9
2016-04-03,8
2016-04-10,10
2016-04-17,9
2016-04-24,11
2016-05-01,10
2016-05-08,9
2016-05-15,9
2016-05-22,9
2016-05-29,11
2016-06-05,11
2016-06-12,10
2016-06-19,9
2016-06-26,11
2016-07-03,12
2016-07-10,9
2016-07-17,9
2016-07-24,10
2016-07-31,8
2016-08-07,6
2016-08-14,6
2016-08-21,6
2016-08-28,6
2016-09-04,6
2016-09-11,5
2016-09-18,5
2016-09-25,4
2016-10-02,5
2016-10-09,5
2016-10-16,7
2016-10-23,6
2016-10-30,6
2016-11-06,6
2016-11-13,6
2016-11-20,7
2016-11-27,6
2016-12-04,5
2016-12-11,5
2016-12-18,6
2016-12-25,7
2017-01-01,6
2017-01-08,11
2017-01-15,12
2017-01-22,8
2017-01-29,7
2017-02-05,7
2017-02-12,7
2017-02-19,7
2017-02-26,8
2017-03-05,9
2017-03-12,9
2017-03-19,23
2017-03-26,14
2017-04-02,8
2017-04-09,9
2017-04-16,7
2017-04-23,9
2017-04-30,9
2017-05-07,8
2017-05-14,11
2017-05-21,10
2017-05-28,11
2017-06-04,11
2017-06-11,12
2017-06-18,11
2017-06-25,11
2017-07-02,30
2017-07-09,40
2017-07-16,81
2017-07-23,96
2017-07-30,59
2017-08-06,47
2017-08-13,33
2017-08-20,28
2017-08-27,24
2017-09-03,25
2017-09-10,19
2017-09-17,17
2017-09-24,16
2017-10-01,15
2017-10-08,17
2017-10-15,14
2017-10-22,12
2017-10-29,12
2017-11-05,13
2017-11-12,13
2017-11-19,22
2017-11-26,16
2017-12-03,14
2017-12-10,17
2017-12-17,18
2017-12-24,33
2017-12-31,22
2018-01-07,20
2018-01-14,21
2018-01-21,16
2018-01-28,14
2018-02-04,15
2018-02-11,17
2018-02-18,16
2018-02-25,16
2018-03-04,24
2018-03-11,31
2018-03-18,24
2018-03-25,22
2018-04-01,20
2018-04-08,18
2018-04-15,17
2018-04-22,19
2018-04-29,17
2018-05-06,17
2018-05-13,17
2018-05-20,16
2018-05-27,19
2018-06-03,18
2018-06-10,34
2018-06-17,37
2018-06-24,30
2018-07-01,28
2018-07-08,29
2018-07-15,26
2018-07-22,26
2018-07-29,22
2018-08-05,21
2018-08-12,18
2018-08-19,18
2018-08-26,17
2018-09-02,16
2018-09-09,18
2018-09-16,18
2018-09-23,14
2018-09-30,17
2018-10-07,15
2018-10-14,14
2018-10-21,14
2018-10-28,12
2018-11-04,13
2018-11-11,13
2018-11-18,17
2018-11-25,14
2018-12-02,15
2018-12-09,15
2018-12-16,17
2018-12-23,25
2018-12-30,23
2019-01-06,19
2019-01-13,17
2019-01-20,16
2019-01-27,16
2019-02-03,14
2019-02-10,13
2019-02-17,14
2019-02-24,13
2019-03-03,13
2019-03-10,16
2019-03-17,16
2019-03-24,15
2019-03-31,17
2019-04-07,15
2019-04-14,13
2019-04-21,13
2019-04-28,11
2019-05-05,11
2019-05-12,12
2019-05-19,12
2019-05-26,13
2019-06-02,14
2019-06-09,16
2019-06-16,15
2019-06-23,17
2019-06-30,16
2019-07-07,16
2019-07-14,21
2019-07-21,22
2019-07-28,15
2019-08-04,12
2019-08-11,11
2019-08-18,10
2019-08-25,9
2019-09-01,9
2019-09-08,9
2019-09-15,8
2019-09-22,8
2019-09-29,9
2019-10-06,8
2019-10-13,9
2019-10-20,8
2019-10-27,8
2019-11-03,7
2019-11-10,7
2019-11-17,8
2019-11-24,11
2019-12-01,9
2019-12-08,9
2019-12-15,10
2019-12-22,15
2019-12-29,13
2020-01-05,11
2020-01-12,9
2020-01-19,10
2020-01-26,10
2020-02-02,8
2020-02-09,9
2020-02-16,8
