Category: All categories

Week,street fighter: (United States)
2015-03-01,16
2015-03-08,18
2015-03-15,17
2015-03-22,17
2015-03-29,16
2015-04-05,17
2015-04-12,18
2015-04-19,21
2015-04-26,18
2015-05-03,18
2015-05-10,18
2015-05-17,20
2015-05-24,22
2015-05-31,19
2015-06-07,21
2015-06-14,32
2015-06-21,24
2015-06-28,24
2015-07-05,27
2015-07-12,26
2015-07-19,47
2015-07-26,29
2015-08-02,22
2015-08-09,21
2015-08-16,21
2015-08-23,24
2015-08-30,24
2015-09-06,23
2015-09-13,23
2015-09-20,21
2015-09-27,22
2015-10-04,24
2015-10-11,23
2015-10-18,25
2015-10-25,28
2015-11-01,24
2015-11-08,20
2015-11-15,19
2015-11-22,20
2015-11-29,18
2015-12-06,25
2015-12-13,24
2015-12-20,24
2015-12-27,21
2016-01-03,20
2016-01-10,20
2016-01-17,25
2016-01-24,28
2016-01-31,28
2016-02-07,38
2016-02-14,100
2016-02-21,64
2016-02-28,44
2016-03-06,38
2016-03-13,35
2016-03-20,34
2016-03-27,36
2016-04-03,26
2016-04-10,23
2016-04-17,25
2016-04-24,25
2016-05-01,21
2016-05-08,21
2016-05-15,21
2016-05-22,22
2016-05-29,24
2016-06-05,20
2016-06-12,20
2016-06-19,21
2016-06-26,34
2016-07-03,30
2016-07-10,25
2016-07-17,34
2016-07-24,23
2016-07-31,20
2016-08-07,18
2016-08-14,18
2016-08-21,17
2016-08-28,17
2016-09-04,16
2016-09-11,15
2016-09-18,17
2016-09-25,16
2016-10-02,16
2016-10-09,16
2016-10-16,15
2016-10-23,16
2016-10-30,15
2016-11-06,14
2016-11-13,14
2016-11-20,16
2016-11-27,17
2016-12-04,20
2016-12-11,18
2016-12-18,23
2016-12-25,24
2017-01-01,19
2017-01-08,19
2017-01-15,18
2017-01-22,16
2017-01-29,16
2017-02-05,17
2017-02-12,16
2017-02-19,16
2017-02-26,17
2017-03-05,16
2017-03-12,16
2017-03-19,16
2017-03-26,20
2017-04-02,17
2017-04-09,15
2017-04-16,17
2017-04-23,17
2017-04-30,17
2017-05-07,20
2017-05-14,16
2017-05-21,21
2017-05-28,24
2017-06-04,19
2017-06-11,16
2017-06-18,17
2017-06-25,16
2017-07-02,17
2017-07-09,17
2017-07-16,25
2017-07-23,20
2017-07-30,18
2017-08-06,17
2017-08-13,15
2017-08-20,14
2017-08-27,18
2017-09-03,15
2017-09-10,14
2017-09-17,14
2017-09-24,16
2017-10-01,17
2017-10-08,16
2017-10-15,16
2017-10-22,15
2017-10-29,14
2017-11-05,14
2017-11-12,13
2017-11-19,18
2017-11-26,14
2017-12-03,14
2017-12-10,26
2017-12-17,19
2017-12-24,25
2017-12-31,21
2018-01-07,18
2018-01-14,26
2018-01-21,20
2018-01-28,18
2018-02-04,14
2018-02-11,17
2018-02-18,16
2018-02-25,15
2018-03-04,15
2018-03-11,14
2018-03-18,15
2018-03-25,15
2018-04-01,17
2018-04-08,16
2018-04-15,16
2018-04-22,14
2018-04-29,15
2018-05-06,15
2018-05-13,16
2018-05-20,17
2018-05-27,29
2018-06-03,20
2018-06-10,16
2018-06-17,17
2018-06-24,17
2018-07-01,19
2018-07-08,16
2018-07-15,15
2018-07-22,16
2018-07-29,18
2018-08-05,24
2018-08-12,18
2018-08-19,16
2018-08-26,15
2018-09-02,14
2018-09-09,12
2018-09-16,13
2018-09-23,13
2018-09-30,13
2018-10-07,13
2018-10-14,14
2018-10-21,14
2018-10-28,15
2018-11-04,12
2018-11-11,12
2018-11-18,15
2018-11-25,13
2018-12-02,14
2018-12-09,16
2018-12-16,21
2018-12-23,22
2018-12-30,17
2019-01-06,15
2019-01-13,15
2019-01-20,14
2019-01-27,13
2019-02-03,12
2019-02-10,12
2019-02-17,12
2019-02-24,12
2019-03-03,11
2019-03-10,12
2019-03-17,13
2019-03-24,13
2019-03-31,12
2019-04-07,13
2019-04-14,12
2019-04-21,14
2019-04-28,13
2019-05-05,12
2019-05-12,12
2019-05-19,12
2019-05-26,13
2019-06-02,12
2019-06-09,12
2019-06-16,12
2019-06-23,13
2019-06-30,13
2019-07-07,13
2019-07-14,12
2019-07-21,12
2019-07-28,15
2019-08-04,18
2019-08-11,13
2019-08-18,13
2019-08-25,11
2019-09-01,13
2019-09-08,11
2019-09-15,12
2019-09-22,12
2019-09-29,11
2019-10-06,11
2019-10-13,12
2019-10-20,12
2019-10-27,13
2019-11-03,12
2019-11-10,12
2019-11-17,15
2019-11-24,13
2019-12-01,11
2019-12-08,12
2019-12-15,17
2019-12-22,17
2019-12-29,14
2020-01-05,12
2020-01-12,12
2020-01-19,12
2020-01-26,12
2020-02-02,12
2020-02-09,14
2020-02-16,15
